ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2055,1,NO,Norte,20275622,-0.159183972738952,81.7171985009721,25.4751387373971,1.46909461883995,24.3587716372859,47.9163758329386,72.2751474702245,196.710969446395,43.2706698221145,44.4378222158397
2056,1,NO,Norte,20237870,-0.186194041297472,81.8664606982349,25.5520081774823,1.46975075513461,24.2745055318331,49.3222067630927,73.5967122949259,203.185217092939,43.5927036293839,44.840134599276
2057,1,NO,Norte,20194797,-0.212833662831113,82.0133833019797,25.6276068677303,1.4706179301058,24.2014260289708,50.7625195130729,74.9639455420437,209.750117419968,43.908885194538,45.2380343975031
2058,1,NO,Norte,20146369,-0.239804341682659,82.1580228006374,25.7019367018234,1.47167057152647,24.1401888902381,52.2390410454599,76.379229935698,216.398642458777,44.2189747442827,45.628956868499
2059,1,NO,Norte,20092594,-0.266921547997057,82.3004211484436,25.7750176006334,1.47290761395288,24.0893518573017,53.7479845417439,77.8373363990456,223.119263897722,44.5229187928647,46.0135716782708
2060,1,NO,Norte,20033445,-0.294382099195356,82.4405769916469,25.8468441807758,1.47432052127154,24.0445091796737,55.2682618969855,79.3127710766592,229.858141349407,44.8206028468893,46.4038636689616
2061,1,NO,Norte,19968940,-0.321986557978415,82.5785384785136,25.9173829900372,1.47589193126531,23.9995886779999,56.758869537967,80.7584582159669,236.499342965812,45.1116846462556,46.7918636679871
2062,1,NO,Norte,19899225,-0.349117178978953,82.7142307428162,25.9866547481694,1.47760241357308,23.9551650636555,58.2206370377464,82.1758021014019,243.040016142815,45.3957790315955,47.1796416028239
2063,1,NO,Norte,19824422,-0.375909112038286,82.8476856582424,26.0546984551385,1.47943866028889,23.9142362203354,59.6620375699219,83.5762737902573,249.483349667628,45.6723942317209,47.5502047004197
2064,1,NO,Norte,19744655,-0.402367342664522,82.9789488518994,26.12156217934,1.48138902202809,23.8798190172761,61.0962371961918,84.9760562134679,255.848828468889,45.9413082173378,47.9084034243111
2065,1,NO,Norte,19659999,-0.42875400962944,83.1080805974091,26.1872723651413,1.4834436508957,23.8531336004907,62.5313113558948,86.3844449563855,262.151348343634,46.2023461445751,48.2494019790082
2066,1,NO,Norte,19570594,-0.4547558725715109,83.2351346984708,26.251960587803,1.48559327965153,23.8367120368039,63.9849263554226,87.8216383922265,268.430168794379,46.4552132142744,48.5922699069286
